cartera_id,sucursal_id,sucursal_nombre,periodo_id,anio,mes_numero,cantidad_prestamos,valor_rd
276,21,Río San Juan,9,2017,12,1106,471345768
277,22,Salcedo,9,2017,12,869,406281001
278,23,Samaná,9,2017,12,1315,330989345
279,24,San Cristóbal,9,2017,12,1288,711975476
280,25,San Francisco de Macorís,9,2017,12,905,759746649
281,26,San José de Ocoa,9,2017,12,1116,1679064146
282,27,San José de las Matas,9,2017,12,927,632417807
283,28,San Juan de la Maguana,9,2017,12,4555,1459319320
284,29,Santiago,9,2017,12,486,480434765
285,30,Santiago Rodríguez,9,2017,12,1634,801708067
286,31,Santo Domingo,9,2017,12,2005,2377933342
287,32,Valverde Mao,9,2017,12,1190,1439829675
288,33,Villa Riva,9,2017,12,1150,384556549
289,1,Arenoso,10,2018,1,895,334531962
290,2,Azua,10,2018,1,1950,700794114
291,3,Baní,10,2018,1,747,571725347
292,4,Barahona,10,2018,1,2065,540474631
293,5,Bonao,10,2018,1,590,517512887
294,6,Comendador,10,2018,1,1669,303193721
295,7,Constanza,10,2018,1,1165,787206670
296,8,Cotuí,10,2018,1,1951,1098865682
297,9,Dajabón,10,2018,1,1214,490698093
298,10,El Seibo,10,2018,1,1124,335339235
299,11,Hato Mayor,10,2018,1,1181,789518430
300,12,Higüey,10,2018,1,1106,796521549
301,13,La Vega,10,2018,1,1104,1019245296
302,15,Moca,10,2018,1,933,656999860
303,16,Monte Plata,10,2018,1,1312,1150168527
304,17,Montecristí,10,2018,1,1214,697573184
305,18,Nagua,10,2018,1,1188,469125106
306,19,Neyba,10,2018,1,1668,497889177
307,20,Puerto Plata,10,2018,1,1871,609646568
308,21,Río San Juan,10,2018,1,1087,453505173
309,22,Salcedo,10,2018,1,861,412045868
310,23,Samaná,10,2018,1,1298,322568488
311,24,San Cristóbal,10,2018,1,1245,691723390
312,25,San Francisco de Macorís,10,2018,1,912,748803745
313,26,San José de Ocoa,10,2018,1,1097,1676572064
314,27,San José de las Matas,10,2018,1,913,624807325
315,28,San Juan de la Maguana,10,2018,1,4449,1455739040
316,29,Santiago,10,2018,1,494,431916513
317,30,Santiago Rodríguez,10,2018,1,1571,740185967
318,31,Santo Domingo,10,2018,1,1946,2314596355
319,32,Valverde Mao,10,2018,1,1162,1453537564
320,33,Villa Riva,10,2018,1,1196,491380079
321,1,Arenoso,11,2018,2,903,342051518
322,2,Azua,11,2018,2,1941,704195212
323,3,Baní,11,2018,2,729,565122876
324,4,Barahona,11,2018,2,2060,575922194
325,5,Bonao,11,2018,2,584,511814002
326,6,Comendador,11,2018,2,1640,299259702
327,7,Constanza,11,2018,2,1148,787311972
328,8,Cotuí,11,2018,2,1976,1136270553
329,9,Dajabón,11,2018,2,1220,490428488
330,10,El Seibo,11,2018,2,1111,352781885
331,11,Hato Mayor,11,2018,2,1172,909681142
332,12,Higüey,11,2018,2,1089,776209403
333,13,La Vega,11,2018,2,1116,1014357124
334,15,Moca,11,2018,2,930,653723759
335,16,Monte Plata,11,2018,2,1321,1250502975
336,17,Montecristí,11,2018,2,1231,736583404
337,18,Nagua,11,2018,2,1202,491647674
338,19,Neyba,11,2018,2,1663,502368016
339,20,Puerto Plata,11,2018,2,1888,606119088
340,21,Río San Juan,11,2018,2,1078,456584458
341,22,Salcedo,11,2018,2,846,421744041
342,23,Samaná,11,2018,2,1297,326709214
343,24,San Cristóbal,11,2018,2,1220,706141281
344,25,San Francisco de Macorís,11,2018,2,931,776086072
345,26,San José de Ocoa,11,2018,2,1088,1697533790
346,27,San José de las Matas,11,2018,2,920,621913769
347,28,San Juan de la Maguana,11,2018,2,4324,1431716473
348,29,Santiago,11,2018,2,493,445112197
349,30,Santiago Rodríguez,11,2018,2,1574,749110596
350,31,Santo Domingo,11,2018,2,1937,2489323772
351,32,Valverde Mao,11,2018,2,1164,1526119669
352,33,Villa Riva,11,2018,2,1204,498297245
353,1,Arenoso,12,2018,3,908,368720759
354,2,Azua,12,2018,3,1909,726937853
