desembolso_cobro_id,sucursal_id,sucursal_nombre,periodo_id,anio,mes_numero,desembolsos_rd,cobros_rd,balance_neto_rd
258,2,Azua,102,2025,9,19874766,12250515,7624251
259,3,Baní,102,2025,9,60441669,55437601,5004068
260,4,Barahona,102,2025,9,5325948,13689094,-8363146
261,5,Bonao,102,2025,9,14269524,18767187,-4497663
262,6,Comendador,102,2025,9,17636299,8665331,8970968
263,7,Constanza,102,2025,9,91073064,65727280,25345784
264,8,Cotuí,102,2025,9,40758328,48303389,-7545061
265,9,Dajabón,102,2025,9,19911387,16989735,2921652
266,10,El Seibo,102,2025,9,10346511,40111576,-29765065
267,11,Hato Mayor,102,2025,9,8497924,22159464,-13661540
268,12,Higüey,102,2025,9,12488574,29658817,-17170243
269,13,La Vega,102,2025,9,208781996,139979750,68802246
270,14,Mao Valverde,102,2025,9,165381855,148916836,16465019
271,15,Moca,102,2025,9,156576040,181563981,-24987941
272,16,Monte Plata,102,2025,9,45659714,50282863,-4623149
273,17,Montecristí,102,2025,9,19200608,54570214,-35369606
274,18,Nagua,102,2025,9,77842800,87588029,-9745229
275,19,Neyba,102,2025,9,15048780,16702313,-1653533
276,20,Puerto Plata,102,2025,9,35563547,33691245,1872302
277,21,Río San Juan,102,2025,9,14256315,29716968,-15460653
278,22,Salcedo,102,2025,9,47670605,162688015,-115017410
279,23,Samaná,102,2025,9,11337238,16626290,-5289052
280,24,San Cristóbal,102,2025,9,15792774,4974683,10818091
281,25,San Francisco de Macorís,102,2025,9,90690828,143889255,-53198427
282,26,San José de Ocoa,102,2025,9,89313141,60545364,28767777
283,27,San José de las Matas,102,2025,9,64540743,12525368,52015375
284,28,San Juan de la Maguana,102,2025,9,23827838,18587591,5240247
285,29,Santiago,102,2025,9,69479364,117817136,-48337772
286,30,Santiago Rodríguez,102,2025,9,22359556,29646999,-7287443
287,31,Santo Domingo,102,2025,9,141176537,30989206,110187331
288,33,Villa Riva,102,2025,9,18841963,32989042,-14147079
289,1,Arenoso,103,2025,10,12973506,33125177,-20151671
290,2,Azua,103,2025,10,15128980,17772450,-2643470
291,3,Baní,103,2025,10,144374605,129434455,14940150
292,4,Barahona,103,2025,10,7999765,14326035,-6326270
293,5,Bonao,103,2025,10,64070499,43735871,20334628
294,6,Comendador,103,2025,10,7446739,18396019,-10949280
295,7,Constanza,103,2025,10,63030101,76633982,-13603881
296,8,Cotuí,103,2025,10,39859474,55854868,-15995394
297,9,Dajabón,103,2025,10,18684924,28401726,-9716802
298,10,El Seibo,103,2025,10,32555003,25822412,6732591
299,11,Hato Mayor,103,2025,10,13360303,31124664,-17764361
300,12,Higüey,103,2025,10,16413678,44445400,-28031722
301,13,La Vega,103,2025,10,80848155,95641907,-14793752
302,14,Mao Valverde,103,2025,10,51039476,92967386,-41927910
303,15,Moca,103,2025,10,100484137,110946262,-10462125
304,16,Monte Plata,103,2025,10,23435876,28793312,-5357436
305,17,Montecristí,103,2025,10,31614641,54610646,-22996005
306,18,Nagua,103,2025,10,18460121,29915924,-11455803
307,19,Neyba,103,2025,10,6764342,11190286,-4425944
308,20,Puerto Plata,103,2025,10,50117159,40648771,9468388
309,21,Río San Juan,103,2025,10,24626855,36272933,-11646078
310,22,Salcedo,103,2025,10,10402576,30406990,-20004414
311,23,Samaná,103,2025,10,21627924,15372026,6255898
312,24,San Cristóbal,103,2025,10,10561883,7891574,2670309
313,25,San Francisco de Macorís,103,2025,10,89970471,122249358,-32278887
314,26,San José de Ocoa,103,2025,10,94746558,140993740,-46247182
315,27,San José de las Matas,103,2025,10,20191850,15271277,4920573
316,28,San Juan de la Maguana,103,2025,10,45680639,36268881,9411758
317,29,Santiago,103,2025,10,122784832,81397126,41387706
318,30,Santiago Rodríguez,103,2025,10,25623196,29419636,-3796440
319,31,Santo Domingo,103,2025,10,222283253,263106321,-40823068
320,33,Villa Riva,103,2025,10,10283127,17546208,-7263081
321,1,Arenoso,104,2025,11,56362879,69944608,-13581729
322,2,Azua,104,2025,11,26820303,21124059,5696244
323,3,Baní,104,2025,11,28759185,17534339,11224846
324,4,Barahona,104,2025,11,8623606,12084296,-3460690
325,5,Bonao,104,2025,11,60860490,66163057,-5302567
326,6,Comendador,104,2025,11,14963249,16682546,-1719297
327,7,Constanza,104,2025,11,38749455,59679978,-20930523
328,8,Cotuí,104,2025,11,116117501,104012282,12105219
329,9,Dajabón,104,2025,11,18052303,21003071,-2950768
330,10,El Seibo,104,2025,11,12393692,27296023,-14902331
331,11,Hato Mayor,104,2025,11,14851822,24818638,-9966816
332,12,Higüey,104,2025,11,32647924,37390188,-4742264
333,13,La Vega,104,2025,11,79943682,166094213,-86150531
334,14,Mao Valverde,104,2025,11,105715117,206117734,-100402617
335,15,Moca,104,2025,11,66117761,69595774,-3478013
336,16,Monte Plata,104,2025,11,27867125,67580381,-39713256
337,17,Montecristí,104,2025,11,95310059,36068963,59241096
338,18,Nagua,104,2025,11,23205278,78408490,-55203212
339,19,Neyba,104,2025,11,12820029,9368241,3451788
340,20,Puerto Plata,104,2025,11,44986072,28564389,16421683
341,21,Río San Juan,104,2025,11,40861091,53757792,-12896701
342,22,Salcedo,104,2025,11,21559846,10299527,11260319
343,23,Samaná,104,2025,11,21995380,19535183,2460197
344,24,San Cristóbal,104,2025,11,7837457,8207880,-370423
345,25,San Francisco de Macorís,104,2025,11,72332524,79944349,-7611825
346,26,San José de Ocoa,104,2025,11,96963491,97081432,-117941
347,27,San José de las Matas,104,2025,11,17301104,13645243,3655861
348,28,San Juan de la Maguana,104,2025,11,96619055,40745280,55873775
349,29,Santiago,104,2025,11,124382164,53087192,71294972
350,30,Santiago Rodríguez,104,2025,11,32990784,20922636,12068148
351,31,Santo Domingo,104,2025,11,234286443,185353353,48933090
352,33,Villa Riva,104,2025,11,54060088,46180193,7879895
353,1,Arenoso,105,2025,12,161814271,47395977,114418294
