monto_destino_id,destino_id,destino_nombre,rubro,tipo_operacion,periodo_id,anio,mes_numero,cantidad,valores_rd,tareas,beneficiados
160,42,Ganado de Carne (Com),Ganado de Carne,Com,4,2017,7,5,8900000,0,5
161,44,Ganado de Doble Propósito,Ganado de Doble Propósito,General,4,2017,7,51,48247000,0,51
162,45,Ganado de Leche,Ganado de Leche,General,4,2017,7,19,16807000,0,19
163,46,Ganado de Leche (Com.),Ganado de Leche,Com.,4,2017,7,0,0,0,0
164,51,Guandul (Comercialización),Guandul,Comercialización,4,2017,7,0,0,0,0
165,52,Guandul (Producción),Guandul,Producción,4,2017,7,1,100000,30,1
166,53,Guineo,Guineo,General,4,2017,7,5,4008000,397,5
167,57,Habichuela (Comercialización),Habichuela,Comercialización,4,2017,7,0,0,0,0
168,58,Habichuela (Producción),Habichuela,Producción,4,2017,7,0,0,0,0
169,59,Invernadero,Invernadero,General,4,2017,7,3,28069210,41,3
170,63,Maíz (Comercialización),Maíz,Comercialización,4,2017,7,0,0,0,0
171,64,Maíz (Producción),Maíz,Producción,4,2017,7,5,290000,172,5
172,68,Otros Agrícolas,Otros Agrícolas,General,4,2017,7,108,51222277,9405,108
173,69,Otros Avícolas,Otros Avícolas,General,4,2017,7,0,0,0,0
174,70,Otros Pecuarios,Otros Pecuarios,General,4,2017,7,53,196630486,0,53
175,72,Papa,Papa,General,4,2017,7,20,18322120,833,20
176,75,Piña,Piña,General,4,2017,7,13,5335000,742,13
177,77,Plátano,Plátano,General,4,2017,7,58,23130356,4266,58
178,82,Pollos de Engorde,Pollos de Engorde,General,4,2017,7,50,51067000,0,50
179,85,Porcino (Comercialización),Porcino,Comercialización,4,2017,7,1,200000,0,1
180,86,Porcino (Producción),Porcino,Producción,4,2017,7,53,62576042,0,53
181,87,Préstamos de Consumo,Préstamos de Consumo,General,4,2017,7,181,33542402,0,181
182,92,Tabaco (Comercialización),Tabaco,Comercialización,4,2017,7,1,225000,0,1
183,94,Tabaco (Producción),Tabaco,Producción,4,2017,7,0,0,0,0
184,97,Tomate Industrial,Tomate Industrial,General,4,2017,7,0,0,0,0
185,98,Tomate de Mesa,Tomate de Mesa,General,4,2017,7,15,2755000,187,15
186,100,Yautía,Yautía,General,4,2017,7,21,5305000,636,21
187,102,Yuca,Yuca,General,4,2017,7,7,1415000,555,7
188,104,Ñame,Ñame,General,4,2017,7,3,395000,80,3
189,3,"Agro. Manufactura, Comercio V. y Otros","Agro. Manufactura, Comercio V. y Otros",General,5,2017,8,126,131496999,0,126
190,4,Aguacate (Producción),Aguacate,Producción,5,2017,8,32,9118000,1305,32
191,8,Ajo (Comercialización),Ajo,Comercialización,5,2017,8,0,0,0,0
192,9,Ajo (Producción),Ajo,Producción,5,2017,8,1,800000,23,1
193,10,Ají (Producción),Ají,Producción,5,2017,8,23,19490000,328,23
194,11,Apícola,Apícola,General,5,2017,8,4,550000,0,4
195,14,Arroz (Comercialización),Arroz,Comercialización,5,2017,8,11,80252000,0,11
196,17,Arroz (Producción),Arroz,Producción,5,2017,8,124,91817100,19140,124
197,20,Batata,Batata,General,5,2017,8,6,380000,125,6
198,23,Cacao (Comercialización),Cacao,Comercialización,5,2017,8,4,13700000,0,4
199,24,Cacao (Producción),Cacao,Producción,5,2017,8,138,53932000,17354,138
200,26,Café (Comercialización),Café,Comercialización,5,2017,8,0,0,0,0
201,27,Café (Producción),Café,Producción,5,2017,8,25,4875000,1850,25
202,28,Cebolla,Cebolla,General,5,2017,8,15,9558800,536,15
203,33,Coco (Comercialización),Coco,Comercialización,5,2017,8,1,100000,0,1
204,34,Coco (Producción),Coco,Producción,5,2017,8,4,1937500,694,4
