Sucursal;Cantidad de Préstamos;Valor (RD$);Mes;Año
Cotui;1,832;1,255,889,302;Mayo;2018
Villa Riva;1,151;455,776,604;Mayo;2018
Arenoso;775;329,018,524;Mayo;2018
Rio San Juan;1,029;475,871,539;Mayo;2018
Nagua;1,047;469,121,681;Mayo;2018
Samana;1,290;335,331,856;Mayo;2018
La Vega;943;977,732,532;Mayo;2018
Bonao;501;492,676,608;Mayo;2018
Constanza;1,105;746,633,371;Mayo;2018
Salcedo;818;426,397,766;Mayo;2018
Moca;896;704,273,075;Mayo;2018
Santiago;500;437,687,917;Mayo;2018
Valverde Mao;1,116;1,762,724,398;Mayo;2018
Montecristy;1,092;879,144,520;Mayo;2018
Santiago Rodriguez;1,541;768,433,038;Mayo;2018
Dajabón;1,193;501,393,710;Mayo;2018
San Jose de las Matas;913;634,253,960;Mayo;2018
Puerto Plata;1,796;597,631,791;Mayo;2018
San Cristobal;1,197;730,960,704;Mayo;2018
Bani;713;605,942,359;Mayo;2018
San Jose de Ocoa;1,107;1,801,330,284;Mayo;2018
Azua;1,941;714,372,157;Mayo;2018
Santo Domingo;1,976;2,147,353,545;Junio;2018
Monte Plata;1,540;1,380,663,919;Junio;2018
Hato Mayor;1,132;964,569,394;Junio;2018
El Seibo;1,061;398,087,808;Junio;2018
Higuey;1,017;736,910,220;Junio;2018
San Juan de la Maguana ;4,225;1,448,616,070;Junio;2018
Barahona;2,066;632,482,448;Junio;2018
Neyba;1,622;524,739,234;Junio;2018
Comendador;1,527;296,728,124;Junio;2018
San Francisco de Macoris;877;793,360,733;Junio;2018
Cotui;1,840;1,296,946,228;Junio;2018
Villa Riva;1,167;466,076,575;Junio;2018
Arenoso;818;351,951,270;Junio;2018
Rio San Juan;1,023;469,888,546;Junio;2018
Nagua;1,096;490,286,182;Junio;2018
Samana;1,287;333,971,265;Junio;2018
La Vega;1,024;1,052,429,946;Junio;2018
Bonao;516;485,072,547;Junio;2018
Constanza;1,091;760,685,286;Junio;2018
Salcedo;825;426,037,992;Junio;2018
Moca;889;724,079,979;Junio;2018
Santiago;493;455,910,001;Junio;2018
Valverde Mao;1,177;1,761,993,317;Junio;2018
Montecristy;1,153;929,355,400;Junio;2018
Santiago Rodriguez;1,527;783,843,843;Junio;2018
Dajabón;1,206;498,775,470;Junio;2018
San Jose de las Matas;896;626,839,652;Junio;2018
Puerto Plata;1,798;595,261,764;Junio;2018
San Cristobal;1,192;756,426,075;Junio;2018
Bani;710;611,061,739;Junio;2018
San Jose de Ocoa;1,136;1,856,987,073;Junio;2018
Azua;1,953;739,118,331;Junio;2018
Santo Domingo;1,879;2,250,711,753;Julio;2018
Monte Plata;1,546;1,516,064,105;Julio;2018
Hato Mayor;1,120;998,411,056;Julio;2018
El Seibo;1,072;391,754,716;Julio;2018
Higuey;984;703,832,935;Julio;2018
San Juan de la Maguana ;4,173;1,455,862,729;Julio;2018
Barahona;2,018;620,518,350;Julio;2018
Neyba;1,583;526,132,019;Julio;2018
Comendador;1,485;285,724,602;Julio;2018
