DESTINO; CANTIDAD ; VALORES ;  TAREAS; BENEFICIADOS ;MES;AÑO
Ganado de Leche (Com.);0;0;0;0;Octubre;2017
Ganado de Doble Propósito;56;61,075,000;0;56;Octubre;2017
Porcino (Producción);50;20,460,000;0;50;Octubre;2017
Porcino (Comercialización);1;1,500,000;0;1;Octubre;2017
Otros Pecuarios;27;45,743,934;0;27;Octubre;2017
Gallinas Ponedoras;4;35,750,000;0;4;Octubre;2017
Pollos de Engorde;54;39,670,500;0;54;Octubre;2017
Otros Avícolas;1;300,000;0;1;Octubre;2017
Apícola;2;230,000;0;2;Octubre;2017
Préstamos de Consumo;187;33,738,568;0;187;Octubre;2017
Agro. Manufactura, Comercio V. y Otros;291;349,252,498;0;292;Octubre;2017
Arroz (Producción);1,091;425,284,619;90,960;1,091;Noviembre;2017
Arroz (Comercialización);9;55,600,000;0;9;Noviembre;2017
Aguacate (Producción);26;6,570,000;1,109;26;Noviembre;2017
Ají (Producción);24;29,985,000;898;24;Noviembre;2017
Café (Producción);18;4,350,000;1,170;18;Noviembre;2017
Café (Comercialización);2;15,000,000;0;2;Noviembre;2017
Cacao (Producción);43;12,973,000;4,251;43;Noviembre;2017
Cacao (Comercialización);5;41,325,000;0;5;Noviembre;2017
Habichuela (Producción);98;16,299,400;4,673;98;Noviembre;2017
Habichuela (Comercialización);0;0;0;0;Noviembre;2017
Plátano;74;24,943,000;4,940;74;Noviembre;2017
Guineo;12;13,826,266;1,413;12;Noviembre;2017
Maíz (Producción);1;100,000;40;1;Noviembre;2017
Maíz (Comercialización);0;0;0;0;Noviembre;2017
Yuca;12;2,335,000;801;12;Noviembre;2017
Yautía;8;1,440,000;241;8;Noviembre;2017
Tomate Industrial;0;0;0;0;Noviembre;2017
Tomate de Mesa;18;12,735,000;292;18;Noviembre;2017
Coco (Producción);5;1,050,000;410;5;Noviembre;2017
Coco (Comercialización);0;0;0;0;Noviembre;2017
Guandul (Producción);2;560,000;270;2;Noviembre;2017
Guandul (Comercialización);0;0;0;0;Noviembre;2017
Papa;21;31,651,000;1,518;21;Noviembre;2017
Piña;23;13,195,500;997;23;Noviembre;2017
Cebolla;29;15,345,000;837;29;Noviembre;2017
Ñame;13;2,030,000;335;13;Noviembre;2017
Ajo (Producción);6;4,030,000;112;6;Noviembre;2017
Ajo (Comercialización);3;129,000,000;0;3;Noviembre;2017
Batata;8;2,070,000;702;8;Noviembre;2017
Tabaco (Producción);5;1,105,000;177;5;Noviembre;2017
Tabaco (Comercialización);5;2,750,000;0;5;Noviembre;2017
Invernadero;2;2,000,000;2;2;Noviembre;2017
Otros Agrícolas;111;85,029,226;20,734;111;Noviembre;2017
Ganado de Carne;65;87,370,738;0;65;Noviembre;2017
Ganado de Carne (Com);4;1,750,000;0;4;Noviembre;2017
Ganado de Leche;24;51,838,000;0;24;Noviembre;2017
Ganado de Leche (Com.);0;0;0;0;Noviembre;2017
Ganado de Doble Propósito;37;28,430,000;0;37;Noviembre;2017
Porcino (Producción);59;19,549,000;0;59;Noviembre;2017
Porcino (Comercialización);0;0;0;0;Noviembre;2017
Otros Pecuarios;38;25,719,740;0;38;Noviembre;2017
Gallinas Ponedoras;7;11,220,000;0;7;Noviembre;2017
Pollos de Engorde;39;44,143,000;0;39;Noviembre;2017
Otros Avícolas;0;0;0;0;Noviembre;2017
Apícola;3;12,300,000;0;3;Noviembre;2017
Préstamos de Consumo;208;37,816,192;0;208;Noviembre;2017
Agro. Manufactura, Comercio V. y Otros;366;435,946,075;0;368;Noviembre;2017
Arroz (Producción);1,656;803,020,785;163,534;1,706;Diciembre;2017
Arroz (Comercialización);7;115,763,000;0;7;Diciembre;2017
Aguacate (Producción);26;10,160,000;1,378;26;Diciembre;2017
Ají (Producción);15;12,510,000;180;15;Diciembre;2017
Café (Producción);17;5,175,000;1,500;17;Diciembre;2017
Café (Comercialización);1;2,500,000;0;1;Diciembre;2017
Cacao (Producción);51;107,868,500;20,615;187;Diciembre;2017
Cacao (Comercialización);0;0;0;0;Diciembre;2017
Habichuela (Producción);39;11,365,000;1,966;39;Diciembre;2017
Habichuela (Comercialización);0;0;0;0;Diciembre;2017
Plátano;101;45,520,387;6,824;101;Diciembre;2017
Guineo;18;966,293,329;65,760;384;Diciembre;2017
Maíz (Producción);2;117,000;105;2;Diciembre;2017
Maíz (Comercialización);0;0;0;0;Diciembre;2017
Yuca;10;7,977,000;1,780;10;Diciembre;2017
Yautía;12;1,915,000;341;12;Diciembre;2017
Tomate Industrial;1;225,000;20;1;Diciembre;2017
Tomate de Mesa;19;13,400,000;332;19;Diciembre;2017
Coco (Producción);5;630,000;341;5;Diciembre;2017
Coco (Comercialización);2;920,000;0;2;Diciembre;2017
Guandul (Producción);1;90,000;39;1;Diciembre;2017
Guandul (Comercialización);0;0;0;0;Diciembre;2017
Papa;26;18,333,120;839;26;Diciembre;2017
Piña;23;14,865,000;1,152;23;Diciembre;2017
Cebolla;66;13,250,000;1,154;72;Diciembre;2017
Ñame;23;3,682,200;555;23;Diciembre;2017
Ajo (Producción);3;2,840,000;79;3;Diciembre;2017
Ajo (Comercialización);0;0;0;0;Diciembre;2017
Batata;8;1,765,000;775;8;Diciembre;2017
Tabaco (Producción);11;2,293,000;392;11;Diciembre;2017
Tabaco (Comercialización);4;725,000;0;4;Diciembre;2017
Invernadero;3;9,599,110;14;3;Diciembre;2017
Otros Agrícolas;108;362,672,611;15,845;168;Diciembre;2017
Ganado de Carne;66;71,161,000;0;66;Diciembre;2017
Ganado de Carne (Com);4;1,175,000;0;4;Diciembre;2017
Ganado de Leche;20;9,198,000;0;20;Diciembre;2017
Ganado de Leche (Com.);1;150,000;0;1;Diciembre;2017
Ganado de Doble Propósito;53;63,097,000;0;53;Diciembre;2017
Porcino (Producción);76;34,290,000;0;76;Diciembre;2017
Porcino (Comercialización);2;365,000;0;2;Diciembre;2017
Otros Pecuarios;41;19,829,930;0;41;Diciembre;2017
Gallinas Ponedoras;3;3,500,000;0;3;Diciembre;2017
Pollos de Engorde;42;37,336,000;0;42;Diciembre;2017
Otros Avícolas;1;300,000;0;1;Diciembre;2017
Apícola;3;1,095,000;0;3;Diciembre;2017
Préstamos de Consumo;161;25,829,086;0;161;Diciembre;2017
Agro. Manufactura, Comercio V. y Otros;490;667,486,025;0;490;Diciembre;2017
Arroz (Producción);516;217,052,670;44,244;516;Enero ;2018
Arroz (Comercialización);6;144,730,000;0;6;Enero ;2018
Aguacate (Producción);41;12,442,000;1,871;41;Enero;2018
Ají (Producción);11;7,095,000;134;11;Enero;2018
Café (Producción);30;30,549,508;6,388;30;Enero;2018
Café (Comercialización);1;1,200,000;0;1;Enero;2018
Cacao (Producción);44;63,657,536;9,557;44;Enero;2018
Cacao (Comercialización);4;170,575,000;0;4;Enero;2018
Habichuela (Producción);6;547,000;152;6;Enero;2018
Habichuela (Comercialización);0;0;0;0;Enero;2018
Plátano;69;18,537,327;2,914;69;Enero;2018
Guineo;12;6,067,000;789;12;Enero;2018
Maíz (Producción);3;655,000;405;3;Enero;2018
Maíz (Comercialización);0;0;0;0;Enero;2018
Yuca;14;2,703,980;808;14;Enero;2018
Yautía;7;1,047,000;195;7;Enero;2018
Tomate Industrial;0;0;0;0;Enero;2018
Tomate de Mesa;23;13,080,000;391;23;Enero;2018
Coco (Producción);3;1,075,000;342;3;Enero;2018
Coco (Comercialización);1;300,000;0;1;Enero;2018
Guandul (Producción);4;305,000;155;4;Enero;2018
Guandul (Comercialización);0;0;0;0;Enero;2018
Papa;23;21,680,000;988;23;Enero;2018
Piña;24;18,762,000;1,324;24;Enero;2018
Cebolla;29;5,532,800;501;29;Enero;2018
Ñame;19;3,617,000;539;19;Enero;2018
Ajo (Producción);4;22,550,000;654;4;Enero;2018
Ajo (Comercialización);0;0;0;0;Enero;2018
Batata;8;2,150,000;771;8;Enero;2018
Tabaco (Producción);4;719,000;116;4;Enero;2018
Tabaco (Comercialización);2;380,000;0;2;Enero;2018
Invernadero;5;30,698,602;40;5;Enero;2018
Otros Agrícolas;112;106,688,471;27,380;113;Enero;2018
Ganado de Carne;57;75,900,000;0;57;Enero;2018
Ganado de Carne (Com);4;800,000;0;4;Enero;2018
Ganado de Leche;18;18,511,000;0;18;Enero;2018
Ganado de Leche (Com.);0;0;0;0;Enero;2018
Ganado de Doble Propósito;51;31,184,000;0;51;Enero;2018
Porcino (Producción);52;20,747,000;0;52;Enero;2018
Porcino (Comercialización);1;300,000;0;1;Enero;2018
Otros Pecuarios;27;12,135,308;0;24;Enero;2018
Gallinas Ponedoras;6;5,775,000;0;6;Enero;2018
Pollos de Engorde;47;34,881,000;0;47;Enero;2018
Otros Avícolas;0;0;0;0;Enero;2018
Apícola;2;360,000;0;2;Enero;2018
Préstamos de Consumo;106;18,057,044;0;106;Enero;2018
Agro. Manufactura, Comercio V. y Otros;272;220,130,141;0;272;Enero;2018
Arroz (Producción);176;77,790,222;17,998;176;Febrero;2018
Arroz (Comercialización);8;38,492,000;0;8;Febrero;2018
Aguacate (Producción);55;16,490,000;2,721;55;Febrero;2018
Ají (Producción);12;9,487,000;230;12;Febrero;2018
Café (Producción);23;27,219,500;5,592;23;Febrero;2018
Café (Comercialización);0;0;0;0;Febrero;2018
Cacao (Producción);39;36,713,500;8,415;39;Febrero;2018
Cacao (Comercialización);2;1,150,000;0;2;Febrero;2018
Habichuela (Producción);1;100,000;25;1;Febrero;2018
Habichuela (Comercialización);1;200,000;0;1;Febrero;2018
Plátano;78;52,327,296;6,483;78;Febrero;2018
Guineo;8;42,261,642;2,890;13;Febrero;2018
Maíz (Producción);1;40,000;30;1;Febrero;2018
Maíz (Comercialización);0;0;0;0;Febrero;2018
Yuca;10;4,470,000;1,044;10;Febrero;2018
Yautía;10;2,450,000;422;10;Febrero;2018
