tipo_registro,anio,mes_numero,mes_nombre,periodo_fecha,sucursal_nombre,region,destino_nombre,rubro,tipo_operacion,cantidad_prestamos,valor_cartera_rd,tareas_financiadas,valor_area_rd,desembolsos_rd,cobros_rd,balance_neto_rd,cantidad_destino,valores_destino_rd,tareas_destino,beneficiados
Cartera prestamos,2017,7,Julio,2017-07-01,Valverde Mao,Cibao Noroeste,,,,1130,1389162709,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,7,Julio,2017-07-01,Villa Riva,Cibao Nordeste,,,,1141,362748405,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,8,Agosto,2017-08-01,Arenoso,Cibao Nordeste,,,,811,287561519,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,8,Agosto,2017-08-01,Azua,Sur,,,,1960,643392438,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,8,Agosto,2017-08-01,Baní,Sur,,,,770,549104276,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,8,Agosto,2017-08-01,Barahona,Sur,,,,2122,588223454,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,8,Agosto,2017-08-01,Bonao,Cibao Nordeste,,,,628,438042472,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,8,Agosto,2017-08-01,Comendador,Sur,,,,1827,335166099,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,8,Agosto,2017-08-01,Constanza,Cibao Norte,,,,1253,788510818,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,8,Agosto,2017-08-01,Cotuí,Cibao Nordeste,,,,1976,1016200595,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,8,Agosto,2017-08-01,Dajabón,Cibao Noroeste,,,,1176,487775349,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,8,Agosto,2017-08-01,El Seibo,Este,,,,1151,316594780,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,8,Agosto,2017-08-01,Hato Mayor,Este,,,,1135,608870159,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,8,Agosto,2017-08-01,Higüey,Este,,,,1185,802977116,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,8,Agosto,2017-08-01,La Vega,Cibao Norte,,,,1042,938515421,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,8,Agosto,2017-08-01,Moca,Cibao Norte,,,,977,619963850,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,8,Agosto,2017-08-01,Monte Plata,Metropolitana,,,,1254,953718925,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,8,Agosto,2017-08-01,Montecristí,Cibao Noroeste,,,,1070,1323960255,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,8,Agosto,2017-08-01,Nagua,Cibao Nordeste,,,,1092,397360896,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,8,Agosto,2017-08-01,Neyba,Sur,,,,1684,477198962,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,8,Agosto,2017-08-01,Puerto Plata,Cibao Norte,,,,1865,546970800,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,8,Agosto,2017-08-01,Río San Juan,Cibao Nordeste,,,,979,443014094,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,8,Agosto,2017-08-01,Salcedo,Cibao Nordeste,,,,855,400160775,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,8,Agosto,2017-08-01,Samaná,Cibao Nordeste,,,,1267,294473092,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,8,Agosto,2017-08-01,San Cristóbal,Sur,,,,1257,655580009,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,8,Agosto,2017-08-01,San Francisco de Macorís,Cibao Nordeste,,,,883,654411522,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,8,Agosto,2017-08-01,San José de Ocoa,Sur,,,,1158,1612936190,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,8,Agosto,2017-08-01,San José de las Matas,Cibao Norte,,,,940,576659759,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,8,Agosto,2017-08-01,San Juan de la Maguana,Sur,,,,4600,1386148122,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,8,Agosto,2017-08-01,Santiago,Cibao Norte,,,,467,393829697,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,8,Agosto,2017-08-01,Santiago Rodríguez,Cibao Noroeste,,,,1659,754215677,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,8,Agosto,2017-08-01,Santo Domingo,Metropolitana,,,,1922,1645775714,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,8,Agosto,2017-08-01,Valverde Mao,Cibao Noroeste,,,,1025,1412127081,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,8,Agosto,2017-08-01,Villa Riva,Cibao Nordeste,,,,1114,350010707,0,0,0,0,0,0,0,0,0
